"Date","Price","Open","High","Low","Change %"
"04/13/2019","-0.449","-0.449","-0.449","-0.449","-10.05%"
"04/12/2019","-0.499","-0.508","-0.449","-0.525","5.81%"
"04/11/2019","-0.471","-0.490","-0.468","-0.530","-4.67%"
"04/10/2019","-0.494","-0.458","-0.450","-0.530","0.77%"
"04/09/2019","-0.491","-0.493","-0.443","-0.526","-3.08%"
"04/08/2019","-0.506","-0.493","-0.462","-0.524","9.92%"
"04/07/2019","-0.461","-0.461","-0.461","-0.461","0.00%"
"04/06/2019","-0.461","-0.461","-0.461","-0.461","-0.97%"
"04/05/2019","-0.465","-0.471","-0.437","-0.525","-6.29%"
"04/04/2019","-0.496","-0.504","-0.464","-0.532","4.11%"
"04/03/2019","-0.477","-0.517","-0.462","-0.545","-5.96%"
"04/02/2019","-0.507","-0.536","-0.488","-0.558","-5.20%"
"04/01/2019","-0.535","-0.482","-0.479","-0.552","6.64%"
"03/31/2019","-0.501","-0.501","-0.501","-0.501","0.00%"
"03/30/2019","-0.501","-0.501","-0.501","-0.501","-4.22%"
"03/29/2019","-0.523","-0.490","-0.479","-0.559","-1.75%"
"03/28/2019","-0.533","-0.520","-0.470","-0.550","6.67%"
"03/27/2019","-0.499","-0.498","-0.475","-0.558","-1.83%"
"03/26/2019","-0.509","-0.484","-0.457","-0.523","-0.12%"
"03/25/2019","-0.509","-0.472","-0.463","-0.525","8.69%"
"03/24/2019","-0.469","-0.469","-0.469","-0.469","0.00%"
"03/23/2019","-0.469","-0.469","-0.469","-0.469","-2.56%"
"03/22/2019","-0.481","-0.495","-0.459","-0.527","-0.12%"
"03/21/2019","-0.481","-0.496","-0.452","-0.513","0.33%"
"03/20/2019","-0.480","-0.463","-0.412","-0.495","0.17%"
"03/19/2019","-0.479","-0.487","-0.440","-0.496","6.70%"
"03/18/2019","-0.449","-0.455","-0.437","-0.495","-6.38%"
"03/17/2019","-0.480","-0.480","-0.480","-0.480","0.00%"
"03/16/2019","-0.480","-0.480","-0.480","-0.480","4.33%"
"03/15/2019","-0.460","-0.439","-0.430","-0.497","-2.98%"
"03/14/2019","-0.474","-0.473","-0.428","-0.486","4.57%"
"03/13/2019","-0.453","-0.469","-0.435","-0.523","-4.19%"
"03/12/2019","-0.473","-0.462","-0.416","-0.488","7.38%"
"03/11/2019","-0.440","-0.457","-0.407","-0.482","-1.41%"
"03/09/2019","-0.447","-0.447","-0.447","-0.447","-3.50%"
"03/08/2019","-0.463","-0.455","-0.423","-0.487","4.28%"
"03/07/2019","-0.444","-0.438","-0.398","-0.483","-3.33%"
"03/06/2019","-0.459","-0.453","-0.399","-0.460","4.43%"
"03/05/2019","-0.440","-0.409","-0.371","-0.452","0.62%"
"03/04/2019","-0.437","-0.424","-0.377","-0.451","16.22%"
"03/03/2019","-0.376","-0.376","-0.376","-0.376","0.00%"
"03/02/2019","-0.376","-0.411","-0.376","-0.420","-13.54%"
"03/01/2019","-0.435","-0.411","-0.397","-0.462","-1.87%"
"02/28/2019","-0.443","-0.440","-0.402","-0.472","4.70%"
"02/27/2019","-0.423","-0.421","-0.412","-0.475","-0.49%"
"02/26/2019","-0.425","-0.436","-0.404","-0.486","-7.44%"
"02/25/2019","-0.460","-0.453","-0.414","-0.477","8.91%"
"02/24/2019","-0.422","-0.422","-0.422","-0.422","0.00%"
"02/23/2019","-0.422","-0.422","-0.422","-0.422","-4.05%"
"02/22/2019","-0.440","-0.455","-0.412","-0.481","-2.85%"
"02/21/2019","-0.453","-0.432","-0.412","-0.477","0.47%"
"02/20/2019","-0.451","-0.461","-0.415","-0.477","-4.57%"
"02/19/2019","-0.472","-0.447","-0.415","-0.496","3.87%"
"02/18/2019","-0.455","-0.424","-0.407","-0.484","1.81%"
"02/17/2019","-0.447","-0.447","-0.447","-0.447","0.00%"
"02/16/2019","-0.447","-0.414","-0.414","-0.447","4.74%"
"02/15/2019","-0.426","-0.438","-0.406","-0.476","-3.51%"
"02/14/2019","-0.442","-0.423","-0.414","-0.479","2.62%"
"02/13/2019","-0.431","-0.422","-0.401","-0.486","-6.92%"
"02/12/2019","-0.463","-0.449","-0.393","-0.488","-0.69%"
"02/11/2019","-0.466","-0.438","-0.419","-0.496","2.60%"
"02/08/2019","-0.454","-0.466","-0.423","-0.518","0.00%"
"02/07/2019","-0.454","-0.450","-0.437","-0.512","0.91%"
"02/06/2019","-0.450","-0.428","-0.428","-0.519","4.63%"
"02/05/2019","-0.430","-0.434","-0.423","-0.499","-2.32%"
"02/04/2019","-0.440","-0.433","-0.427","-0.504","-0.68%"
"02/01/2019","-0.443","-0.422","-0.409","-0.472","7.16%"
"01/31/2019","-0.414","-0.422","-0.409","-0.463","-4.06%"
"01/30/2019","-0.431","-0.434","-0.410","-0.456","-1.30%"
"01/29/2019","-0.437","-0.424","-0.416","-0.465","-2.52%"
"01/28/2019","-0.448","-0.440","-0.422","-0.479","0.92%"
"01/25/2019","-0.444","-0.454","-0.440","-0.487","-0.65%"
"01/24/2019","-0.447","-0.458","-0.437","-0.487","-0.67%"
"01/23/2019","-0.450","-0.462","-0.447","-0.498","-7.54%"
"01/22/2019","-0.487","-0.482","-0.451","-0.492","7.13%"
"01/21/2019","-0.454","-0.454","-0.450","-0.496","-3.99%"
"01/18/2019","-0.473","-0.464","-0.454","-0.493","-0.57%"
"01/17/2019","-0.476","-0.476","-0.460","-0.500","-0.81%"
"01/16/2019","-0.480","-0.500","-0.457","-0.502","0.27%"
"01/15/2019","-0.478","-0.470","-0.453","-0.503","5.82%"
"01/14/2019","-0.452","-0.503","-0.448","-0.526","-5.75%"
"01/11/2019","-0.480","-0.503","-0.472","-0.533","-9.35%"
"01/10/2019","-0.529","-0.524","-0.473","-0.530","4.96%"
"01/09/2019","-0.504","-0.481","-0.471","-0.524","0.80%"
"01/08/2019","-0.500","-0.476","-0.459","-0.513","3.73%"
"01/07/2019","-0.482","-0.483","-0.469","-0.519","-2.31%"
"01/04/2019","-0.494","-0.510","-0.481","-0.536","-3.95%"
"01/03/2019","-0.514","-0.525","-0.497","-0.539","3.38%"
"01/02/2019","-0.497","-0.520","-0.496","-0.556","-8.57%"
"01/01/2019","-0.544","-0.544","-0.544","-0.544","0.50%"
"12/31/2018","-0.541","-0.541","-0.541","-0.541","0.00%"
"12/30/2018","-0.541","-0.541","-0.541","-0.541","0.52%"
"12/29/2018","-0.538","-0.538","-0.538","-0.538","6.15%"
"12/28/2018","-0.507","-0.518","-0.500","-0.578","-3.96%"
"12/27/2018","-0.528","-0.574","-0.506","-0.587","-8.78%"
"12/26/2018","-0.579","-0.579","-0.579","-0.579","1.47%"
"12/25/2018","-0.570","-0.570","-0.570","-0.570","0.00%"
"12/24/2018","-0.570","-0.570","-0.570","-0.570","0.00%"
"12/23/2018","-0.570","-0.570","-0.570","-0.570","0.49%"
"12/22/2018","-0.567","-0.567","-0.567","-0.567","4.03%"
"12/21/2018","-0.545","-0.510","-0.501","-0.570","-1.20%"
"12/20/2018","-0.552","-0.521","-0.505","-0.567","5.42%"
"12/19/2018","-0.524","-0.524","-0.504","-0.563","-4.54%"
"12/18/2018","-0.549","-0.532","-0.509","-0.577","0.92%"
"12/17/2018","-0.544","-0.538","-0.522","-0.584","-1.47%"
"12/14/2018","-0.552","-0.529","-0.518","-0.580","1.79%"
"12/13/2018","-0.542","-0.542","-0.491","-0.567","-0.31%"
"12/12/2018","-0.544","-0.525","-0.495","-0.560","-1.86%"
"12/11/2018","-0.554","-0.525","-0.492","-0.561","5.60%"
"12/10/2018","-0.525","-0.528","-0.507","-0.556","-6.44%"
"12/09/2018","-0.561","-0.561","-0.561","-0.561","0.47%"
"12/08/2018","-0.558","-0.558","-0.558","-0.558","1.27%"
"12/07/2018","-0.551","-0.576","-0.536","-0.576","-2.43%"
"12/06/2018","-0.565","-0.569","-0.538","-0.584","-2.22%"
"12/05/2018","-0.578","-0.531","-0.435","-0.592","0.24%"
"12/04/2018","-0.576","-0.604","-0.539","-0.638","-2.62%"
"12/03/2018","-0.592","-0.599","-0.562","-0.628","-4.60%"
"12/02/2018","-0.620","-0.620","-0.620","-0.620","0.45%"
"12/01/2018","-0.617","-0.617","-0.617","-0.617","9.22%"
"11/30/2018","-0.565","-0.622","-0.565","-0.627","0.44%"
"11/29/2018","-0.563","-0.597","-0.563","-0.624","-1.61%"
"11/28/2018","-0.572","-0.597","-0.562","-0.610","0.44%"
"11/27/2018","-0.570","-0.603","-0.567","-0.617","-6.01%"
"11/26/2018","-0.606","-0.617","-0.567","-0.617","-1.27%"
"11/25/2018","-0.614","-0.614","-0.614","-0.614","0.44%"
"11/24/2018","-0.611","-0.611","-0.611","-0.611","3.37%"
"11/23/2018","-0.591","-0.611","-0.562","-0.623","-1.04%"
"11/22/2018","-0.597","-0.611","-0.563","-0.618","-0.37%"
"11/21/2018","-0.600","-0.612","-0.574","-0.620","1.92%"
"11/20/2018","-0.588","-0.611","-0.572","-0.629","-1.41%"
"11/19/2018","-0.597","-0.609","-0.573","-0.628","-6.15%"
"11/18/2018","-0.636","-0.636","-0.636","-0.636","0.41%"
"11/17/2018","-0.633","-0.633","-0.633","-0.633","7.76%"
"11/16/2018","-0.587","-0.605","-0.571","-0.640","-0.12%"
"11/15/2018","-0.588","-0.566","-0.566","-0.645","0.34%"
"11/14/2018","-0.586","-0.620","-0.567","-0.630","0.26%"
"11/13/2018","-0.585","-0.590","-0.568","-0.628","-0.68%"
"11/12/2018","-0.589","-0.604","-0.579","-0.639","-5.63%"
"11/11/2018","-0.624","-0.624","-0.624","-0.624","0.40%"
"11/10/2018","-0.621","-0.621","-0.621","-0.621","5.22%"
"11/09/2018","-0.590","-0.596","-0.579","-0.627","2.84%"
"11/08/2018","-0.574","-0.576","-0.570","-0.620","-1.83%"
"11/07/2018","-0.585","-0.623","-0.579","-0.631","-3.58%"
"11/06/2018","-0.607","-0.617","-0.586","-0.638","1.29%"
"11/05/2018","-0.599","-0.633","-0.583","-0.646","-4.80%"
"11/04/2018","-0.629","-0.629","-0.629","-0.629","0.40%"
"11/03/2018","-0.627","-0.627","-0.627","-0.627","3.08%"
"11/02/2018","-0.608","-0.600","-0.579","-0.638","-0.60%"
"11/01/2018","-0.612","-0.636","-0.578","-0.637","0.00%"
"10/31/2018","-0.612","-0.618","-0.599","-0.643","-5.18%"
"10/30/2018","-0.645","-0.623","-0.609","-0.653","22.19%"
"10/29/2018","-0.528","-0.510","-0.443","-0.590","14.74%"
"10/27/2018","-0.460","-0.460","-0.460","-0.460","-13.50%"
"10/26/2018","-0.532","-0.509","-0.450","-0.593","2.68%"
"10/25/2018","-0.518","-0.487","-0.452","-0.587","14.40%"
"10/24/2018","-0.453","-0.490","-0.440","-0.587","-10.20%"
"10/23/2018","-0.504","-0.467","-0.432","-0.561","3.19%"
"10/22/2018","-0.488","-0.410","-0.410","-0.547","7.69%"
"10/19/2018","-0.454","-0.441","-0.429","-0.600","-5.91%"
"10/18/2018","-0.482","-0.470","-0.422","-0.564","-1.97%"
"10/17/2018","-0.492","-0.421","-0.387","-0.544","15.07%"
"10/16/2018","-0.427","-0.475","-0.368","-0.484","18.20%"
"10/15/2018","-0.362","-0.418","-0.362","-0.497","-7.19%"
"10/12/2018","-0.390","-0.401","-0.362","-0.480","-3.40%"
"10/11/2018","-0.403","-0.535","-0.348","-0.542","-5.22%"
"10/10/2018","-0.426","-0.432","-0.351","-0.459","-3.49%"
"10/09/2018","-0.441","-0.394","-0.378","-0.475","0.59%"
"10/08/2018","-0.438","-0.380","-0.338","-0.463","4.33%"
"10/07/2018","-0.420","-0.420","-0.420","-0.420","-5.02%"
"10/05/2018","-0.442","-0.365","-0.320","-0.447","16.36%"
"10/04/2018","-0.380","-0.320","-0.254","-0.501","12.16%"
"10/03/2018","-0.339","-0.382","-0.339","-0.454","-1.34%"
"10/02/2018","-0.343","-0.397","-0.335","-0.458","-10.13%"
"10/01/2018","-0.382","-0.363","-0.337","-0.487","-5.26%"
"09/28/2018","-0.403","-0.344","-0.323","-0.423","-4.45%"
"09/27/2018","-0.422","-0.460","-0.340","-0.473","25.51%"
"09/26/2018","-0.336","-0.372","-0.318","-0.463","-25.59%"
"09/25/2018","-0.452","-0.407","-0.345","-0.487","13.48%"
"09/24/2018","-0.398","-0.396","-0.329","-0.454","-24.76%"
"09/23/2018","-0.530","-0.530","-0.530","-0.530","5.46%"
"09/22/2018","-0.502","-0.502","-0.502","-0.502","18.78%"
"09/21/2018","-0.423","-0.388","-0.345","-0.476","18.87%"
"09/20/2018","-0.356","-0.382","-0.315","-0.451","-18.74%"
"09/19/2018","-0.438","-0.378","-0.350","-0.460","-0.36%"
"09/18/2018","-0.439","-0.427","-0.324","-0.473","34.48%"
"09/17/2018","-0.327","-0.370","-0.313","-0.423","-13.12%"
"09/16/2018","-0.376","-0.407","-0.370","-0.420","4.36%"
"09/14/2018","-0.360","-0.431","-0.331","-0.484","10.73%"
"09/13/2018","-0.325","-0.424","-0.325","-0.444","-22.88%"
